teamname,totalmatches,totalwins,id
Chennai Super Kings,224,131,CSK
Deccan Chargers,75,29,DeC
Delhi Capitals,77,38,DC
Delhi Daredevils,161,67,DD
Gujarat Lions,30,13,GL
Gujarat Titans,33,23,GT
Kings XI Punjab,190,85,KXIP
Kochi Tuskers Kerala,14,6,KTK
Kolkata Knight Riders,237,119,KKR
Lucknow Super Giants,30,17,LSG
Mumbai Indians,247,138,MI
Pune Warriors,46,12,PW
Punjab Kings,42,19,PK
Rajasthan Royals,206,101,RR
Rising Pune Supergiants,30,15,RPS
Royal Challengers Bangalore,240,114,RCB
Sunrisers Hyderabad,166,78,SH
